SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,203493,False,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.19,6.445,6,4,6,38,398
2021,203493,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,0.95,8.285,26,4,7,18,438
2021,202692,False,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,8-16 ft.,0.95,5.885,9,4,7,41,461
2021,202692,False,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,16-24 ft.,0.4900000000000001,7.415,17,4,10,9,609
2021,1630167,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.25,6.055,22,4,11,0,660
2021,201565,False,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.02,6.655,8,4,11,41,701
2021,201565,False,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,24+ ft.,-2.32,6.165,23,4,11,47,707
2021,1629628,False,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.26,6.365,6,3,0,3,723
2021,203944,False,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.05,6.695,9,3,0,46,766
2021,201565,False,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,16-24 ft.,0.6799999999999999,7.355,17,3,1,7,787
2021,203944,False,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.03,5.925,1,3,2,14,854
2021,203944,False,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,8-16 ft.,-0.6599999999999999,6.715,11,3,3,0,900
2021,201565,False,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.21,6.785,10,3,3,22,922
2021,1629628,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.3,5.905,23,3,4,37,997
2021,203901,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.34,6.265000000000001,23,3,4,51,1011
2021,203457,False,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.03,6.484999999999999,7,3,6,8,1088
2021,203944,False,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,16-24 ft.,-1.49,6.775,17,3,6,38,1118
2021,203944,False,True,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,8-16 ft.,-0.8800000000000001,6.575,11,3,7,5,1145
2021,203457,False,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.04,6.045,2,3,7,50,1190
2021,203901,False,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.25,6.515000000000001,7,3,8,19,1219
2021,203901,False,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,16-24 ft.,1.67,6.505,18,3,8,40,1240
2021,203901,False,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.0,5.775,0,3,8,56,1256
2021,1629628,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.33,5.715,23,3,9,3,1263
2021,1629628,False,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.16,8.035,25,3,9,54,1314
2021,203493,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.41,5.765,24,3,10,18,1338
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.6799999999999999,8.235,25,3,10,34,1354
2021,203493,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.77,7.675,25,3,11,33,1413
2021,203944,False,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,16-24 ft.,-0.92,7.575,20,2,0,1,1441
2021,1629628,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.44,7.805,24,2,0,28,1468
2021,203493,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,2.09,7.805,29,2,0,55,1495
2021,203493,False,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,0.99,8.045,24,2,1,15,1515
2021,203944,False,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.1699999999999999,5.935,2,2,1,30,1530
2021,203944,False,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.1699999999999999,6.765000000000001,10,2,2,2,1562
2021,1629628,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.28,6.185,23,2,2,34,1594
2021,203493,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.32,6.175,23,2,3,2,1622
2021,203944,False,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.51,6.295,7,2,3,20,1640
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.0,8.325,25,2,4,7,1687
2021,1630193,False,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,16-24 ft.,0.6799999999999999,7.695,20,2,4,40,1720
2021,201565,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.1699999999999999,6.4350000000000005,6,2,5,27,1767
2021,1630167,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.0,8.325,25,2,5,56,1796
2021,202692,False,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.44,5.995,4,2,6,8,1808
2021,1630193,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.13,6.695,9,2,6,36,1836
2021,201565,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.51,6.9350000000000005,12,2,7,19,1879
2021,1630193,False,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.71,6.885,13,2,7,51,1911
